,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
907,Indicates low battery condition on the device.,Medium,1,Android,d)android.intent.action.BATTERY_LOW,a)android.intent.action.BATTERY_CHANGED,b)android.intent.action.BOOT_COMPLETED,c)android.intent.action.BATTERY_OKAY,d)android.intent.action.BATTERY_LOW
908,Indicates the battery is now okay after being low.,Medium,1,Android,c)android.intent.action.BATTERY_OKAY,a)android.intent.action.BATTERY_CHANGED,b)android.intent.action.BOOT_COMPLETED,c)android.intent.action.BATTERY_OKAY,d)android.intent.action.BATTERY_LOW
909,"This is broadcast once, after the system has finished booting.",Hard,1,Android,b)android.intent.action.BOOT_COMPLETED,a)android.intent.action.BATTERY_CHANGED,b)android.intent.action.BOOT_COMPLETED,c)android.intent.action.BATTERY_OKAY,d)android.intent.action.BATTERY_LOW
910,Show activity for reporting a bug.,Hard,1,Android,b)android.intent.action.BUG_REPORT,a)android.intent.action.BATTERY_CHANGED,b)android.intent.action.BUG_REPORT,c)android.intent.action.BATTERY_OKAY,d)android.intent.action.BATTERY_LOW
911,Perform a call to someone specified by the data.,Hard,1,Android,c)android.intent.action.CALL,a)android.intent.action.BATTERY_CHANGED,b)android.intent.action.BUG_REPORT,c)android.intent.action.CALL,d)android.intent.action.BATTERY_LOW
912,"The user pressed the ""call"" button to go to the dialer or other appropriate UI for placing a call.",Hard,1,Android,b)android.intent.action.CALL_BUTTON,a)android.intent.action.BATTERY_CHANGED,b)android.intent.action.CALL_BUTTON,c)android.intent.action.CALL,d)android.intent.action.BATTERY_LOW
913,The date has changed.,Hard,1,Android,b)android.intent.action.DATE_CHANGED,a)android.intent.action.BATTERY_CHANGED,b)android.intent.action.DATE_CHANGED,c)android.intent.action.CALL,d)android.intent.action.BATTERY_LOW
914,Have the device reboot.,Expert,1,Android,a)android.intent.action.REBOOT,a)android.intent.action.REBOOT,b)android.intent.action.DATE_CHANGED,c)android.intent.action.CALL,d)android.intent.action.BATTERY_LOW
915,This method is called when the provider is started,Expert,1,Android,a)onCreate(),a)onCreate(),b)query(),c)delete(),d)getType()
916,This method receives a request from a client. The result is returned as a Cursor object.,Expert,1,Android,b)query(),a)onCreate(),b)query(),c)delete(),d)getType()
917,This method inserts a new record into the content provider,Expert,1,Android,b)insert(),a)onCreate(),b)insert(),c)delete(),d)getType()
918,This method deletes an existing record from the content provider.,Expert,1,Android,c)delete(),a)onCreate(),b)insert(),c)delete(),d)getType()
919,This method updates an existing record from the content provider,Expert,1,Android,b)update(),a)onCreate(),b)update(),c)delete(),d)getType()
920,This method returns the MIME type of the data at the given URI,Expert,1,Android,c)getType(),a)onCreate(),b)update(),c)getType(),d)delete()
921,The fragment instance is associated with an activity instance,Expert,1,Android,d)onAttach(),a)onCreate(),b)update(),c)getType(),d)onAttach()
922,he system calls this method when creating the fragment,Expert,1,Android,b)onCreate(),a)onCreate(),b)onCreate(),c)getType(),d)onAttach()
923,when the host activity is created,Easy,1,Android,a)onCreateView(),a)onCreateView(),b)onCreate(),c)getType(),d)onAttach()
924,This method is called once the fragment gets visible,Medium,1,Android,c)onStart(),a)onCreateView(),b)onCreate(),c)onStart(),d)onAttach()
925,Fragment becomes active,Hard,1,Android,d)onResume(),a)onCreateView(),b)onCreate(),c)onStart(),d)onResume()
926,The system calls this method as the first indication that the user is leaving the fragment,Expert,1,Android,a)onPause(),a)onPause(),b)onCreate(),c)onStart(),d)onResume()
927,Fragment going to be stopped,Expert,1,Android,b)onStop(),a)onPause(),b)onStop(),c)onStart(),d)onResume()
928,Fragment view will destroy after call this method,Expert,1,Android,b)onDestroyView(),a)onPause(),b)onDestroyView(),c)onStart(),d)onResume()
929,called to do final clean up of the fragment's state but Not guaranteed to be called by the Android platform,Expert,1,Android,c)onDestroy(),a)onPause(),b)onDestroyView(),c)onDestroy(),d)onResume()
930,Basically fragments are divided as,Expert,1,Android,c)Three,a)One,b)Two,c)Three,d)Four
931,"Which frame is using for hand hold devices like mobiles, here we can show only one fragment as a view",Expert,1,Android,b)Single frame fragments,a)Double frame fragments,b)Single frame fragments,c)Multiple frame fragments,d)None
932,fragments having special list view is called as list fragment,Hard,1,Android,a)List fragments,a)List fragments,b)Single frame fragments,c)Multiple frame fragments,d)None
933,Using with fragment transaction. we can move one fragment to another fragment,Hard,1,Android,c)Fragments transaction,a)List fragments,b)Single frame fragments,c)Fragments transaction,d)None
934,The Intent object is passed to this method to launch a new activity or get an existing activity to do something new,Hard,1,Android,b)Context.startActivity(),a)List fragments,b)Context.startActivity(),c)Fragments transaction,d)None
935,The Intent object is passed to this method to initiate a service or deliver new instructions to an ongoing service,Hard,1,Android,d)Context.startService(),a)List fragments,b)Context.startActivity(),c)Fragments transaction,d)Context.startService()
936,The Intent object is passed to this method to deliver the message to all interested broadcast receivers,Hard,1,Android,a)Context.sendBroadcast(),a)Context.sendBroadcast(),b)Context.startActivity(),c)Fragments transaction,d)Context.startService()
937,"Display information about the person whose identifier is ""1""",Easy,1,Android,a)ACTION_VIEW content://contacts/people/1,a)ACTION_VIEW content://contacts/people/1,b)a)ACTION_VIEW content://contacts/1,c)a)ACTION_VIEW content://1,d)None
938,How many types of intents supported by Android ?,Easy,1,Android,b)Two,a)One,b)Two,c)Three,d)Four
939,Display the phone dialer with the person filled in,Easy,1,Android,b)ACTION_DIAL content://contacts/people/1,a)b)ACTION_DIAL content://contacts/1,b)ACTION_DIAL content://contacts/people/1,c)b)ACTION_DIAL content://1,d)None
940,Display the phone dialer with the given number filled in,Easy,1,Android,b)ACTION_VIEW tel:123,a)b)ACTION_DIAL content://contacts/2,b)ACTION_VIEW tel:123,c)ACTION_DIAL tel:122,d)ACTION_SET_WALLPAPER
941,Display the phone dialer with the given number filled in,Easy,1,Android,c)ACTION_DIAL tel:123,a)b)ACTION_DIAL content://contacts/3,b)ACTION_EDIT content://contacts/people/0,c)ACTION_DIAL tel:123,d)ACTION_SET_WALLPAPER
942,"Edit information about the person whose identifier is ""1"".",Easy,1,Android,b)ACTION_EDIT content://contacts/people/1,a)b)ACTION_DIAL content://contacts/4,b)ACTION_EDIT content://contacts/people/1,c)ACTION_DIAL tel:124,d)ACTION_SET_WALLPAPER
943,"Display a list of people, which the user can browse through.",Medium,1,Android,a)ACTION_VIEW content://contacts/people/1,a)ACTION_VIEW content://contacts/people/1,b)ACTION_EDIT content://contacts/people/2,c)ACTION_DIAL tel:125,d)ACTION_SET_WALLPAPER
944,Show settings for choosing wallpaper,Medium,1,Android,d)ACTION_SET_WALLPAPER,a)ACTION_UNINSTALL_PACKAGE,b)ACTION_EDIT content://contacts/people/3,c)ACTION_DIAL tel:126,d)ACTION_SET_WALLPAPER
945,"It going to be synchronous the data,Constant Value is android.intent.action.SYNC",Medium,1,Android,b)ACTION_SYNC,a)ACTION_UNINSTALL_PACKAGE,b)ACTION_SYNC,c)ACTION_DIAL tel:127,d)ACTION_SET_WALLPAPER
946,It will start the platform-defined tutorial,Medium,1,Android,c)ACTION_SYSTEM_TUTORIAL,a)ACTION_UNINSTALL_PACKAGE,b)ACTION_SYNC,c)ACTION_SYSTEM_TUTORIAL,d)ACTION_SET_WALLPAPER
947,It intimates when time zone has changed,Medium,1,Android,b)ACTION_TIMEZONE_CHANGED,a)ACTION_UNINSTALL_PACKAGE,b)ACTION_TIMEZONE_CHANGED,c)ACTION_SYSTEM_TUTORIAL,d)ACTION_SET_WALLPAPER
948,It is used to run default uninstaller,Medium,1,Android,a)ACTION_UNINSTALL_PACKAGE,a)ACTION_UNINSTALL_PACKAGE,b)ACTION_TIMEZONE_CHANGED,c)ACTION_SYSTEM_TUTORIAL,d)ACTION_SET_WALLPAPER
949,"Which layout view group that aligns all children in a single direction, vertically or horizontally?",Hard,1,Android,b)LinearLayout,a)Relative Layout,b)LinearLayout,c)Table Layout,d)Grid View
950,Which Layout is a view group that displays child views in relative positions?,Hard,1,Android,a)Relative Layout,a)Relative Layout,b)LinearLayout,c)Table Layout,d)Grid View
951,Which Layout is a view that groups views into rows and columns?,Hard,1,Android,c)Table Layout,a)Relative Layout,b)LinearLayout,c)Table Layout,d)Grid View
952,Which Layout enables you to specify the exact location of its children?,Hard,1,Android,b)Absolute Layout,a)Relative Layout,b)Absolute Layout,c)Table Layout,d)Grid View
953,Which Layout is a placeholder on screen that you can use to display a single view ?,Hard,1,Android,c)Frame Layout,a)Relative Layout,b)Absolute Layout,c)Frame Layout,d)Grid View
954,Which View is a view group that displays a list of scrollable items?,Hard,1,Android,b)List View,a)Relative Layout,b)List View,c)Frame Layout,d)Grid View
955,"Which View is a ViewGroup that displays items in a two-dimensional, scrollable grid.?",Hard,1,Android,d)Grid View,a)Relative Layout,b)List View,c)Frame Layout,d)Grid View
956,This is the bottom padding filled for the layout,Easy,1,Android,a)android:paddingBottom,a)android:paddingBottom,b)android:paddingTop,c)android:paddingRight,d)android:paddingLeft
957,This is the top padding filled for the layout,Easy,1,Android,b)List View,a)android:paddingBottom,b)android:paddingTop,c)android:paddingRight,d)android:paddingLeft
958,This is the right padding filled for the layout,Easy,1,Android,c)Frame Layout,a)android:paddingBottom,b)android:paddingTop,c)android:paddingRight,d)android:paddingLeft
959,This is the left padding filled for the layout,Easy,1,Android,d)android:paddingLeft,a)android:paddingBottom,b)android:paddingTop,c)android:paddingRight,d)android:paddingLeft
960,This specifies how child Views are positioned.,Easy,1,Android,a)android:layout_gravity,a)android:layout_gravity,b)android:paddingTop,c)android:paddingRight,d)android:paddingLeft
961,"A service is started when an application component, such as an activity, starts it by calling",Easy,1,Android,b)startService(),a)onUnbind(),b)startService(),c)bindService(),d)None
962,A service is bound when an application component binds to it by calling,Easy,1,Android,c)bindService(),a)onUnbind(),b)startService(),c)bindService(),d)None
963,"The system calls this method when another component, such as an activity, requests that the service be started",Expert,1,Android,b)onStartCommand(),a)onUnbind(),b)onStartCommand(),c)bindService(),d)None
964,The system calls this method when another component wants to bind with the service by calling bindService(),Expert,1,Android,c)onBind(),a)onUnbind(),b)onStartCommand(),c)onBind(),d)None
965,The system calls this method when all clients have disconnected from a particular interface published by the service,Expert,1,Android,a)onUnbind(),a)onUnbind(),b)onStartCommand(),c)onBind(),d)All of them
966,The system calls this method when the service is first created using onStartCommand() or onBind(),Expert,1,Android,c)onCreate(),a)onUnbind(),b)onStartCommand(),c)onCreate(),d)All of them
967,The system calls this method when the service is no longer used and is being destroyed,Expert,1,Android,b)onDestroy(),a)onUnbind(),b)onDestroy(),c)onCreate(),d)All of them
968,Which is not a layout?,Expert,1,Android,d)All of them,a)Linear Layout,b)Absolute Layout,c)Frame Layout,d)All of them
